Original Sequential Lower,
matrix,initial nnz,result nnz,total ms
matrices/parabolic_fem.mtx,2100225,-1,-1
matrices/ct20stif.mtx,1375396,114134033,538143
matrices/1138_bus.mtx,2596,38312,6
matrices/bcsstk03.mtx,376,384,0
matrices/offshore.mtx,2251231,-1,-1
matrices/consph.mtx,3046907,233105600,1164629
matrices/nd24k.mtx,14393817,-1,-1
matrices/s3dkq4m2.mtx,2455670,55071893,28371
matrices/apache2.mtx,2766523,-1,-1
Original Sequential Upper,
matrix,initial nnz,result nnz,total ms
matrices/parabolic_fem.mtx,2100225,-1,-1
matrices/ct20stif.mtx,1375396,114134033,427310
matrices/1138_bus.mtx,2596,38312,5
matrices/bcsstk03.mtx,376,384,0
matrices/offshore.mtx,2251231,-1,-1
matrices/consph.mtx,3046907,233105600,709161
matrices/nd24k.mtx,14393817,-1,-1
matrices/s3dkq4m2.mtx,2455670,55071893,28436
matrices/apache2.mtx,2766523,-1,-1
Original Parallel Lower,
matrix,initial nnz,result nnz,total ms
matrices/parabolic_fem.mtx,2100225,-1,-1
matrices/ct20stif.mtx,1375396,114134033,553812
matrices/1138_bus.mtx,2596,38312,11
matrices/bcsstk03.mtx,376,384,0
matrices/offshore.mtx,2251231,-1,-1
matrices/consph.mtx,3046907,233105600,1212533
matrices/nd24k.mtx,14393817,-1,-1
matrices/s3dkq4m2.mtx,2455670,55071893,34832
matrices/apache2.mtx,2766523,-1,-1
Original Parallel Upper,
matrix,initial nnz,result nnz,total ms
matrices/parabolic_fem.mtx,2100225,-1,-1
matrices/ct20stif.mtx,1375396,114134033,252768
matrices/1138_bus.mtx,2596,38312,5
matrices/bcsstk03.mtx,376,384,0
matrices/offshore.mtx,2251231,-1,-1
matrices/consph.mtx,3046907,233105600,424402
matrices/nd24k.mtx,14393817,-1,-1
matrices/s3dkq4m2.mtx,2455670,55071893,12694
matrices/apache2.mtx,2766523,-1,-1
Reorder Sequential Lower,
matrix,initial nnz,result nnz,total ms
matrices/parabolic_fem.mtx,2100225,31717208,26768
matrices/ct20stif.mtx,1375396,5340052,3366
matrices/1138_bus.mtx,2596,1890,0
matrices/bcsstk03.mtx,376,384,0
matrices/offshore.mtx,2251231,125766918,351766
matrices/consph.mtx,3046907,78376341,228673
matrices/nd24k.mtx,14393817,383261108,2928292
matrices/s3dkq4m2.mtx,2455670,7697824,4295
matrices/apache2.mtx,2766523,6364081,1538
Reorder Sequential Upper,
matrix,initial nnz,result nnz,total ms
matrices/parabolic_fem.mtx,2100225,31717208,17266
matrices/ct20stif.mtx,1375396,5340052,2527
matrices/1138_bus.mtx,2596,1890,0
matrices/bcsstk03.mtx,376,384,0
matrices/offshore.mtx,2251231,125766918,373978
matrices/consph.mtx,3046907,78376341,260808
matrices/nd24k.mtx,14393817,383261108,3284535
matrices/s3dkq4m2.mtx,2455670,7697824,2926
matrices/apache2.mtx,2766523,6364081,1363
Reorder Parallel Lower,
matrix,initial nnz,result nnz,total ms
matrices/parabolic_fem.mtx,2100225,31717208,25026
matrices/ct20stif.mtx,1375396,5340052,3740
matrices/1138_bus.mtx,2596,1890,1
matrices/bcsstk03.mtx,376,384,0
matrices/offshore.mtx,2251231,125766918,329091
matrices/consph.mtx,3046907,78376341,249363
matrices/nd24k.mtx,14393817,383261108,2879908
matrices/s3dkq4m2.mtx,2455670,7697824,4341
matrices/apache2.mtx,2766523,6364081,1477
Reorder Parallel Upper,
matrix,initial nnz,result nnz,total ms
matrices/parabolic_fem.mtx,2100225,31717208,7968
matrices/ct20stif.mtx,1375396,5340052,1280
matrices/1138_bus.mtx,2596,1890,2
matrices/bcsstk03.mtx,376,384,0
matrices/offshore.mtx,2251231,125766918,196581
matrices/consph.mtx,3046907,78376341,130763
matrices/nd24k.mtx,14393817,383261108,2007799
matrices/s3dkq4m2.mtx,2455670,7697824,1654
matrices/apache2.mtx,2766523,6364081,2268
